,business_id,categories,city,latitude,longitude,name,review_count,stars
0,93otbGHE0s0m-lU1osvg9w,"[American (New), Pubs, Nightlife, Bars, Restaurants]",Pittsburgh,40.4459861,-80.0108802,Rivertowne,102,3.0
1,LIvXzdMJrIb6IY5Y3tqicA,"[American (New), Restaurants]",Charlotte,35.212521,-80.857639,Nan and Byron's,291,3.5
2,h7uxML49NQ_Wj-7zk0DSqg,"[Restaurants, Breakfast & Brunch, American (Traditional), Burgers]",Charlotte,35.295757,-80.741677,O'Charley's Restaurant & Bar,41,3.0
3,X02YNLa3Iofzwv5Le6QeYQ,"[Pizza, Restaurants]",Charlotte,35.2966598,-80.737783,Papa Murphy's,5,4.0
4,2rgQ1TULwVoY7TnUlnH7Yw,"[Asian Fusion, Chinese, Japanese, Restaurants]",Charlotte,35.2949318,-80.7474815,Taiyo Pacific and Sushi Bar,5,4.0
5,jDqaz1jKdeWk_fTVCzc1Pg,"[Food, Imported Food, Restaurants, Ethnic Food, Specialty Food]",Pittsburgh,40.44258082,-79.9527347618,Conflict Kitchen,145,4.5
6,_OtUeybIKTx2jhLVYV66wA,"[Delis, Restaurants, Fast Food, Sandwiches]",Charlotte,35.346468,-80.852589,Jersey Mike's Subs,15,3.5
7,HYwbHY-srAOoH-t337DpMw,"[Tapas Bars, Restaurants]",Pittsburgh,40.4273611,-79.964962,Tusca Restaurant,25,2.0
8,ZYof0WYlilJ3pgWNSgmYKQ,"[Pizza, Restaurants]",Pittsburgh,40.438453,-79.987978,Pizza Milano,56,3.5
9,u7CxxEzx8hvjoJ8onN4zTg,"[Restaurants, Fast Food, Airports, Hotels & Travel]",Pittsburgh,40.4958772052,-80.2560925484,Pittsburgh International Airport,364,3.5
10,roHEmKg-vyVWyDXSBdNXmA,"[Restaurants, Juice Bars & Smoothies, Food, Sandwiches]",Charlotte,35.062218,-80.773346,Tropical Smoothie Cafe,10,5.0
11,NQ7d9DIzP4Uip8yP9hgwPA,"[Sports Bars, Bars, American (Traditional), Restaurants, Nightlife, Chicken Wings]",Pittsburgh,40.448156958,-80.0041090697,Local Brewhouse,27,2.5
12,o7tBcNfv-zMXSTePBLIrvw,"[Restaurants, Fast Food, Sandwiches]",Pittsburgh,40.4395778,-80.001289,Subway,7,2.5
13,XaTts7L8g57_odPEFuwkOw,"[Chinese, Restaurants]",Pittsburgh,40.4426201,-79.8854317,Chen's Wok,3,3.5
14,LpyndkMvevIQA-JHoReHNw,"[Restaurants, Pakistani, Indian]",Charlotte,35.155407,-80.875309,Jaipur Indian Restaurant,109,3.5
